Alpha_Node,Total_Support
TYR,-866
TYRP1,-865
MLX,-866
ACACB,-865
MLXIP,-866
MLXIPL,-865
MTOR,-865
TERT,-866
TFAP4,-866
GLS,-866
GLS2,-866
SLC1A5,-866
MYD88,-868
NACA,-860
NANOG,-865
POU5F1,-866
POU5F1B,-866
NCOA1,-797
NCOA2,-859
NCOA3,-798
NEUROD1,-865
GCK,-866
IAPP,-866
NEUROG3,-862
NKX2-2,-866
PAX4,-866
PAX6,-866
MYH7,-866
NPPB,-866
TRPC6,-866
F2R,-866
IL17A,-866
IL17F,-866
IL21,-866
IL22,-866
RCAN1,-866
RGS2,-866
NFATC2,-865
NFATC3,-865
NFATC4,-865
NFE2L2,-807
TXNRD1,-866
TXNRD2,-866
TXNRD3,-866
BCL2L1,-866
TRAF1,-866
TRAF2,-866
TRAF3,-866
TRAF4,-866
TRAF5,-866
TRAF6,-866
AMH,-866
BCL2A1,-866
CFLAR,-866
NFKBIA,-866
MYB,-866
PTPN13,-866
BIRC7,-866
BIRC8,-866
CEBPB,-866
CEBPG,-866
IL15RA,-866
LTA,-866
CCL13,-866
CCL19,-866
CCL21,-866
CXCL12,-866
TNFSF13B,-865
NFX1,-802
NOTCH1,-864
NOTCH2,-864
NOTCH3,-864
NOTCH4,-864
NFYA,-865
NFYB,-865
NFYC,-866
FLT4,-865
NPAS2,-866
NR0B2,-865
CYP7A1,-866
SLC10A1,-866
SLCO1A2,-866
SLCO1B1,-866
SLCO1B3,-866
SLCO1B7,-866
NR1H3,-804
SREBF1,-866
NR1H4,-844
ABCB11,-865
ABCB4,-866
ABCC2,-866
SLC51A,-866
SLC51B,-866
NR3C2,-836
ATP1A1,-865
ATP1A2,-866
ATP1A3,-866
ATP1A4,-866
ATP1B1,-866
ATP1B2,-866
ATP1B3,-866
ATP1B4,-866
FXYD2,-866
FXYD4,-866
KRAS,-866
SCNN1A,-866
SCNN1B,-866
SCNN1G,-866
SGK1,-866
NR4A1,-866
NR4A2,-865
FGF23,-865
NR5A1,-866
ONECUT1,-852
HNF1B,-865
PAX8,-865
PBX1,-865
NKX6-1,-866
NR5A2,-866
PGAM5,-864
DNM1L,-865
PIAS1,-865
PIAS2,-865
PIAS3,-865
PIAS4,-865
PIK3CA,-854
RCAN2,-865
PIK3CB,-853
PIK3CD,-853
PIK3R1,-853
PIK3R2,-853
PIK3R3,-854
CEBPE,-865
ZBTB16,-863
PPARA,-804
ACAA1,-866
ACADM,-866
ACOX1,-866
ACOX2,-866
ACOX3,-866
ACSL1,-866
ACSL3,-866
ACSL4,-866
ACSL5,-866
ACSL6,-866
ANGPTL4,-866
APOA1,-866
APOA2,-866
APOA5,-866
APOC3,-866
CPT2,-866
CYP4A11,-866
CYP4A22,-866
CYP8B1,-866
DBI,-866
EHHADH,-866
FABP1,-866
FADS2,-866
HMGCS2,-866
LPL,-866
ME1,-866
PLTP,-866
SCD,-866
SCD5,-866
SCP2,-866
SLC27A1,-866
SLC27A4,-866
ACSBG1,-866
ACSBG2,-866
ACADL,-866
FABP3,-866
ILK,-866
PDPK1,-866
UBC,-865
PPARG,-864
ADIPOQ,-866
AQP7,-866
CD36,-866
CYP27A1,-866
FABP4,-866
GK,-866
GK2,-866
OLR1,-866
PLIN1,-866
SORBS1,-866
PLIN2,-866
PLIN4,-866
PLIN5,-866
SLC2A4,-868
NRF1,-868
TFAM,-868
PRKAA1,-856
SPHK1,-865
SPHK2,-865
PRKAA2,-856
PRKAB1,-855
PRKAB2,-855
PRKACA,-866
EHMT1,-865
EHMT2,-866
AKR1C3,-866
CYP19A1,-866
HSD17B1,-866
HSD17B2,-866
HSD17B7,-866
HSD3B1,-866
HSD3B2,-866
PRKACB,-843
PRKACG,-843
PRKAG1,-855
PRKAG2,-855
PRKAG3,-855
PRKCQ,-865
PSEN1,-802
FOXP3,-865
DUSP6,-865
RBBP5,-866
RBL1,-801
RBPJ,-795
PTCRA,-866
CR2,-866
RUNX3,-865
RBPJL,-796
RELB,-859
RFX5,-865
RFXANK,-865
RFXAP,-865
RPS6,-863
RPS6KA5,-801
RUNX1,-864
CSF1R,-865
RUNX1T1,-863
RUNX2,-863
MMP13,-865
RXRA,-798
RXRB,-863
RXRG,-863
SIRT1,-863
SMAD1,-865
ID1,-866
ID2,-866
ID3,-866
ID4,-866
DUSP9,-865
SMAD2,-784
PITX2,-866
ACTA2,-866
CDH1,-866
CTGF,-866
SMAD7,-866
IL23R,-866
COL1A1,-866
COL1A2,-866
COL3A1,-866
COL4A1,-866
COL4A2,-866
COL4A3,-866
COL4A4,-866
COL4A5,-866
COL4A6,-865
SMAD3,-784
SMAD4,-801
SMAD5,-865
SMAD9,-865
SOS1,-793
SPRED1,-866
SPRED2,-866
SPRY1,-866
SPRY2,-866
SPRY3,-866
SPRY4,-866
SOS2,-793
SOX9,-865
SP1,-797
SPI1,-853
CSF2RA,-866
CD14,-866
FCGR1A,-866
ITGAM,-866
ACACA,-866
FASN,-866
SRF,-863
STAT1,-797
PIM1,-866
SOCS1,-866
SOCS2,-866
SOCS4,-866
SOCS5,-866
SOCS7,-866
RIPK1,-866
AOX1,-866
CISH,-866
GFAP,-866
SOCS6,-866
CSN2,-866
ELF5,-866
LHCGR,-866
PRLR,-866
TH,-866
IRGM,-866
OASL,-866
STAT2,-801
STAT3,-795
PIM2,-866
MIR21,-866
STAT4,-805
STAT5A,-801
STAT5B,-801
STAT6,-805
TBX3,-859
TCF3,-859
ESRRB,-866
BAX,-866
LCK,-866
POLB,-866
TCF7,-797
TCF7L1,-797
TCF7L2,-797
TEAD1,-805
TEAD2,-805
TEAD3,-805
TEAD4,-805
TFDP1,-801
TFDP2,-801
THRA,-851
ATP2A2,-866
MYH6,-866
PLN,-865
THRB,-784
TICAM1,-865
TLR2,-863
PDCD4,-865
TLR4,-864
BAI1,-866
CCNG1,-866
CD82,-866
DDB2,-866
EI24,-866
GTSE1,-866
IGFBP3,-866
PERP,-866
PMAIP1,-866
PPM1D,-866
PTEN,-866
RCHY1,-866
RFWD2,-866
RPRM,-866
RRM2,-866
RRM2B,-866
SERPINB5,-866
SESN1,-866
SESN2,-866
SESN3,-866
SFN,-866
SHISA5,-866
SIAH1,-866
STEAP3,-866
TNFRSF10B,-866
TP53I3,-866
TP73,-866
TSC2,-866
ZMAT3,-866
BAK1,-866
ADGRB1,-866
AIFM2,-866
COP1,-866
PIDD1,-866
SIVA1,-866
APAF1,-866
BID,-866
TNFRSF10A,-866
SAT1,-866
SAT2,-866
SLC7A11,-866
POLK,-866
TTF1,-865
TTF2,-865
TWIST1,-862
MIR10A,-865
MIR10B,-865
TWIST2,-862
U2AF1,-865
U2AF1L4,-865
U2AF1L5,-865
VDR,-851
S100G,-866
SLC34A2,-866
TRPV6,-865
WDR5,-866
WDR5B,-865
WWTR1,-857
AFP,-866
AREG,-866
FGF1,-866
ITGB2,-866
XBP1,-847
YAP1,-797
ZBTB17,-866
